Ticker,Name
1802.T,Obayashi Corporation
8334.T,"The Gunma Bank, Ltd."
7581.T,"Saizeriya Co.,Ltd."
4186.T,"Tokyo Ohka Kogyo Co., Ltd."
3402.T,"Toray Industries, Inc."
3563.T,Food & Life Companies Ltd.
4631.T,DIC Corporation
8053.T,Sumitomo Corporation
5631.T,"The Japan Steel Works, Ltd."
8750.T,"Daiichi Life Group, Inc."
4151.T,"Kyowa Kirin Co., Ltd."
8524.T,"North Pacific Bank,Ltd."
2809.T,Kewpie Corporation
2802.T,"Ajinomoto Co., Inc."
2914.T,Japan Tobacco Inc.
1925.T,"Daiwa House Industry Co., Ltd."
6368.T,Organo Corporation
6407.T,CKD Corporation
8802.T,"Mitsubishi Estate Co., Ltd."
4042.T,Tosoh Corporation
8015.T,Toyota Tsusho Corporation
7203.T,Toyota Motor Corporation
8001.T,ITOCHU Corporation
5444.T,"Yamato Kogyo Co., Ltd."
5019.T,"Idemitsu Kosan Co.,Ltd."
5334.T,"Niterra Co., Ltd."
4507.T,"Shionogi & Co., Ltd."
8377.T,"Hokuhoku Financial Group, Inc."
9433.T,KDDI Corporation
9022.T,Central Japan Railway Company
8630.T,"Sompo Holdings, Inc."
7011.T,"Mitsubishi Heavy Industries, Ltd."
6586.T,Makita Corporation
6302.T,"Sumitomo Heavy Industries, Ltd."
1332.T,Nissui Corporation
6856.T,"HORIBA, Ltd."
9435.T,"Hikari Tsushin, Inc."
6278.T,Union Tool Co.
5344.T,"Maruwa Co.,Ltd."
9412.T,SKY Perfect JSAT Corporation
2768.T,Sojitz Corporation
4188.T,Mitsubishi Chemical Group Corporation
3003.T,"Hulic Co., Ltd."
4091.T,Nippon Sanso Holdings Corporation
6113.T,"Amada Co., Ltd."
6971.T,Kyocera Corporation
4204.T,"Sekisui Chemical Co., Ltd."
8725.T,"MS&AD Insurance Group Holdings, Inc."
8697.T,"Japan Exchange Group, Inc."
2875.T,"Toyo Suisan Kaisha, Ltd."
8804.T,"Tokyo Tatemono Co., Ltd."
9502.T,"Chubu Electric Power Company, Incorporated"
8058.T,Mitsubishi Corporation
6268.T,Nabtesco Corporation
5214.T,"Nippon Electric Glass Co., Ltd."
5726.T,"OSAKA Titanium technologies Co.,Ltd."
1605.T,Inpex Corporation
8830.T,"Sumitomo Realty & Development Co., Ltd."
5201.T,AGC Inc.
7911.T,TOPPAN Holdings Inc.
4732.T,"USS Co., Ltd."
8593.T,Mitsubishi HC Capital Inc.
7741.T,HOYA Corporation
3861.T,Oji Holdings Corporation
1942.T,"Kandenko Co.,Ltd."
1928.T,"Sekisui House, Ltd."
6471.T,NSK Ltd.
1721.T,COMSYS Holdings Corporation
3231.T,"Nomura Real Estate Holdings, Inc."
1801.T,Taisei Corporation
9147.T,"Nippon Express Holdings, Inc."
5333.T,NGK Corporation
6370.T,Kurita Water Industries Ltd.
9107.T,"Kawasaki Kisen Kaisha, Ltd."
6481.T,"THK Co., Ltd."
3407.T,Asahi Kasei Corporation
